epoch 99 pred_counts: {4: 132, 6: 226, 8: 218, 7: 211, 0: 148, 1: 278, 9: 230, 3: 155, 5: 176, 10: 149, 2: 156, 13: 247, 12: 176, 11: 261} conf_thresh=0.05
epoch 100 pred_counts: {4: 132, 6: 225, 8: 216, 7: 212, 0: 149, 1: 278, 9: 223, 3: 157, 5: 176, 10: 149, 2: 155, 13: 247, 12: 175, 11: 259} conf_thresh=0.05
epoch 101 pred_counts: {4: 132, 6: 226, 8: 219, 7: 211, 0: 148, 1: 276, 9: 218, 3: 158, 5: 176, 10: 150, 2: 155, 13: 247, 12: 175, 11: 263} conf_thresh=0.05
epoch 102 pred_counts: {4: 132, 6: 226, 8: 221, 7: 211, 9: 218, 0: 144, 1: 276, 3: 159, 5: 179, 10: 150, 2: 155, 13: 247, 12: 175, 11: 262} conf_thresh=0.05
epoch 103 pred_counts: {4: 132, 6: 229, 8: 220, 7: 209, 9: 214, 0: 144, 1: 276, 3: 157, 5: 181, 10: 150, 2: 155, 13: 247, 12: 175, 11: 261} conf_thresh=0.05
epoch 104 pred_counts: {4: 132, 6: 230, 5: 179, 8: 220, 7: 207, 9: 213, 0: 143, 1: 277, 3: 161, 10: 151, 2: 155, 13: 247, 12: 172, 11: 263} conf_thresh=0.05
epoch 105 pred_counts: {4: 132, 6: 233, 5: 177, 8: 222, 7: 208, 9: 208, 0: 144, 1: 278, 3: 162, 10: 153, 2: 155, 13: 247, 12: 171, 11: 261} conf_thresh=0.05
epoch 106 pred_counts: {4: 132, 6: 232, 5: 180, 8: 227, 7: 208, 9: 205, 0: 142, 1: 276, 3: 161, 10: 153, 2: 155, 13: 247, 12: 166, 11: 261} conf_thresh=0.05
epoch 107 pred_counts: {4: 132, 6: 232, 5: 179, 8: 226, 7: 210, 9: 201, 0: 142, 1: 276, 3: 160, 10: 152, 2: 154, 13: 247, 12: 168, 11: 261} conf_thresh=0.05
epoch 108 pred_counts: {4: 133, 6: 231, 5: 177, 8: 227, 7: 209, 9: 199, 0: 146, 1: 277, 3: 159, 10: 152, 2: 154, 13: 246, 12: 169, 11: 258} conf_thresh=0.05
epoch 109 pred_counts: {4: 134, 6: 232, 5: 176, 8: 228, 7: 209, 9: 198, 0: 147, 1: 277, 3: 159, 10: 152, 2: 153, 13: 246, 12: 169, 11: 253} conf_thresh=0.05
epoch 110 pred_counts: {4: 134, 6: 234, 5: 178, 8: 231, 7: 207, 9: 199, 0: 148, 1: 271, 3: 158, 10: 150, 2: 152, 13: 246, 12: 169, 11: 251} conf_thresh=0.05
epoch 111 pred_counts: {4: 135, 6: 232, 5: 178, 8: 232, 7: 202, 9: 201, 0: 148, 1: 270, 3: 157, 10: 152, 2: 152, 13: 246, 12: 168, 11: 251} conf_thresh=0.05
epoch 112 pred_counts: {4: 135, 6: 229, 5: 179, 8: 234, 7: 205, 9: 203, 0: 148, 1: 265, 3: 155, 10: 150, 2: 153, 13: 246, 12: 167, 11: 249} conf_thresh=0.05
epoch 113 pred_counts: {4: 135, 6: 231, 5: 178, 8: 240, 7: 208, 9: 203, 0: 148, 1: 266, 3: 154, 10: 151, 2: 153, 13: 246, 12: 166, 11: 248} conf_thresh=0.05
epoch 114 pred_counts: {4: 134, 6: 232, 5: 179, 8: 246, 7: 210, 9: 206, 0: 148, 1: 265, 3: 154, 10: 150, 2: 152, 13: 246, 12: 166, 11: 248} conf_thresh=0.05
epoch 115 pred_counts: {4: 133, 6: 231, 5: 178, 8: 248, 7: 209, 9: 205, 0: 148, 1: 264, 3: 152, 10: 150, 2: 152, 13: 246, 12: 161, 11: 243} conf_thresh=0.05
epoch 116 pred_counts: {4: 134, 6: 230, 5: 178, 8: 246, 7: 211, 9: 200, 0: 148, 1: 262, 3: 152, 10: 151, 2: 152, 13: 246, 12: 157, 11: 239} conf_thresh=0.05
