epoch 95 pred_counts: {4: 132, 7: 168, 6: 120, 8: 160, 1: 174, 3: 122, 5: 131, 2: 150, 0: 128, 9: 211, 10: 133, 13: 254, 12: 132, 11: 164} conf_thresh=0.05
epoch 96 pred_counts: {4: 132, 7: 164, 6: 120, 8: 158, 1: 173, 3: 122, 5: 131, 2: 150, 0: 128, 9: 209, 10: 133, 13: 253, 12: 132, 11: 165} conf_thresh=0.05
epoch 97 pred_counts: {4: 132, 7: 164, 6: 120, 8: 157, 1: 173, 3: 122, 5: 130, 2: 151, 0: 127, 9: 205, 10: 133, 13: 253, 12: 132, 11: 165} conf_thresh=0.05
epoch 98 pred_counts: {4: 132, 7: 163, 6: 120, 8: 158, 1: 171, 3: 122, 5: 130, 2: 151, 0: 127, 9: 203, 10: 133, 13: 253, 12: 132, 11: 167} conf_thresh=0.05
epoch 99 pred_counts: {4: 132, 7: 163, 6: 120, 8: 156, 1: 171, 3: 122, 5: 130, 2: 151, 0: 127, 9: 203, 10: 133, 13: 253, 12: 132, 11: 166} conf_thresh=0.05
epoch 100 pred_counts: {4: 132, 7: 161, 6: 119, 8: 154, 1: 171, 3: 122, 5: 130, 2: 151, 0: 127, 9: 203, 10: 133, 13: 251, 12: 132, 11: 166} conf_thresh=0.05
epoch 101 pred_counts: {4: 132, 7: 158, 6: 119, 8: 154, 1: 170, 3: 122, 5: 130, 2: 151, 0: 127, 9: 202, 10: 133, 13: 251, 12: 130, 11: 167} conf_thresh=0.05
epoch 102 pred_counts: {4: 132, 7: 158, 6: 119, 8: 155, 1: 171, 3: 122, 5: 131, 2: 153, 0: 127, 9: 202, 10: 133, 13: 251, 12: 129, 11: 170} conf_thresh=0.05
epoch 103 pred_counts: {4: 132, 7: 157, 6: 119, 8: 155, 1: 171, 3: 123, 5: 132, 2: 153, 0: 127, 9: 201, 10: 133, 13: 251, 12: 128, 11: 170} conf_thresh=0.05
epoch 104 pred_counts: {4: 132, 7: 158, 6: 119, 8: 154, 1: 170, 3: 123, 5: 132, 2: 153, 0: 126, 9: 201, 10: 133, 13: 250, 12: 128, 11: 167} conf_thresh=0.05
epoch 105 pred_counts: {4: 132, 7: 158, 6: 119, 8: 152, 1: 167, 3: 123, 5: 132, 2: 153, 0: 125, 9: 201, 10: 133, 13: 250, 12: 128, 11: 166} conf_thresh=0.05
epoch 106 pred_counts: {4: 132, 7: 158, 6: 119, 8: 151, 1: 166, 3: 123, 5: 132, 2: 153, 0: 125, 9: 199, 10: 133, 13: 250, 12: 128, 11: 166} conf_thresh=0.05
epoch 107 pred_counts: {4: 132, 7: 159, 6: 119, 8: 151, 1: 166, 3: 123, 5: 133, 2: 154, 0: 124, 9: 197, 10: 133, 13: 250, 12: 128, 11: 166} conf_thresh=0.05
epoch 108 pred_counts: {4: 132, 7: 159, 6: 119, 8: 152, 1: 164, 3: 123, 5: 133, 2: 154, 0: 124, 9: 197, 10: 133, 13: 249, 12: 128, 11: 165} conf_thresh=0.05
epoch 109 pred_counts: {4: 132, 7: 161, 6: 119, 8: 153, 1: 165, 3: 123, 5: 132, 2: 156, 0: 125, 9: 196, 10: 133, 13: 249, 12: 128, 11: 165} conf_thresh=0.05
epoch 110 pred_counts: {4: 132, 7: 160, 6: 119, 8: 153, 1: 165, 3: 123, 5: 132, 2: 156, 0: 125, 9: 196, 10: 133, 13: 249, 12: 128, 11: 162} conf_thresh=0.05
epoch 111 pred_counts: {4: 132, 7: 160, 6: 119, 8: 153, 1: 164, 3: 123, 5: 130, 2: 157, 0: 124, 9: 196, 10: 133, 13: 249, 12: 128, 11: 162} conf_thresh=0.05
