epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,4574.69,0.17557,0.19554,0.88315,0.99963,1,0.995,0.995,0.06007,0.06037,0.79252,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,4630.95,0.17196,0.18925,0.88408,0.99958,1,0.995,0.995,0.06157,0.06103,0.79266,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,4687.98,0.17531,0.18973,0.88376,0.99986,1,0.995,0.995,0.06284,0.0608,0.79272,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,4742.68,0.17493,0.18946,0.88305,0.99972,1,0.995,0.99498,0.05966,0.06281,0.79265,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,4796.7,0.17376,0.18616,0.8823,0.99986,1,0.995,0.995,0.05788,0.05552,0.79239,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,4858.25,0.17241,0.18705,0.88496,0.99975,1,0.995,0.99499,0.05857,0.0557,0.79218,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4918.48,0.17124,0.18594,0.88247,0.99969,1,0.995,0.99499,0.05743,0.05478,0.79207,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4979.06,0.16935,0.18737,0.88111,0.99977,1,0.995,0.995,0.05518,0.05271,0.79198,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5038.81,0.16812,0.18332,0.88324,0.99976,1,0.995,0.995,0.05572,0.0556,0.79209,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,5097.92,0.16943,0.1843,0.88294,0.9997,1,0.995,0.99499,0.0574,0.06098,0.79219,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,5158.46,0.1667,0.18434,0.88081,0.99966,1,0.995,0.99498,0.05836,0.05788,0.79235,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,5215.9,0.16637,0.18121,0.8825,0.99982,1,0.995,0.99499,0.05654,0.05337,0.79219,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
